city,street,segment_id,point_id,distance_m,lon,lat,heading_road,heading_sidewalk_right,heading_sidewalk_left,image_file,image_path,gsv_status,gsv_url_sidewalk
"Philadelphia, Pennsylvania, USA",Market Street,2,1,250.0,-75.16743347283999,39.95285285353131,279.2687200210005,9.26872002100049,189.2687200210005,idx0033_seg2_pt1_h9.jpg,gsv_sidewalk_250m\idx0033_seg2_pt1_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95285285353131,-75.16743347283999&heading=9.26872002100049"
"Philadelphia, Pennsylvania, USA",Market Street,2,2,500.0,-75.1696499395475,39.95313013622551,279.2385323712972,9.238532371297197,189.2385323712972,idx0034_seg2_pt2_h9.jpg,gsv_sidewalk_250m\idx0034_seg2_pt2_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95313013622551,-75.1696499395475&heading=9.238532371297197"
"Philadelphia, Pennsylvania, USA",Market Street,2,3,750.0,-75.17186658616048,39.95340652126894,279.710777046221,9.710777046220985,189.71077704622095,idx0035_seg2_pt3_h10.jpg,gsv_sidewalk_250m\idx0035_seg2_pt3_h10.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95340652126894,-75.17186658616048&heading=9.710777046220985"
"Philadelphia, Pennsylvania, USA",Market Street,2,4,1000.0,-75.17407946178015,39.953696805868574,279.1379326653482,9.137932665348217,189.13793266534825,idx0036_seg2_pt4_h9.jpg,gsv_sidewalk_250m\idx0036_seg2_pt4_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.953696805868574,-75.17407946178015&heading=9.137932665348217"
"Philadelphia, Pennsylvania, USA",Market Street,2,5,1250.0,-75.17629672647764,39.95397020333569,278.82845785076296,8.828457850762959,188.82845785076296,idx0037_seg2_pt5_h9.jpg,gsv_sidewalk_250m\idx0037_seg2_pt5_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95397020333569,-75.17629672647764&heading=8.828457850762959"
"Philadelphia, Pennsylvania, USA",Market Street,2,6,1500.0,-75.17851551621916,39.95423437135965,279.5141546805347,9.514154680534716,189.51415468053472,idx0038_seg2_pt6_h10.jpg,gsv_sidewalk_250m\idx0038_seg2_pt6_h10.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95423437135965,-75.17851551621916&heading=9.514154680534716"
"Philadelphia, Pennsylvania, USA",Market Street,2,7,1750.0,-75.18073041306661,39.95451892397059,279.41150983529474,9.411509835294735,189.41150983529477,idx0039_seg2_pt7_h9.jpg,gsv_sidewalk_250m\idx0039_seg2_pt7_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95451892397059,-75.18073041306661&heading=9.411509835294735"
"Philadelphia, Pennsylvania, USA",Market Street,2,8,2000.0,-75.18294587061649,39.954800420490095,279.229175212965,9.229175212965004,189.229175212965,idx0040_seg2_pt8_h9.jpg,gsv_sidewalk_250m\idx0040_seg2_pt8_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.954800420490095,-75.18294587061649&heading=9.229175212965004"
"Philadelphia, Pennsylvania, USA",Market Street,2,9,2250.0,-75.18516257973222,39.95507652173845,279.0606523430687,9.060652343068682,189.06065234306868,idx0041_seg2_pt9_h9.jpg,gsv_sidewalk_250m\idx0041_seg2_pt9_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95507652173845,-75.18516257973222&heading=9.060652343068682"
"Philadelphia, Pennsylvania, USA",Market Street,2,10,2500.0,-75.1873801400445,39.95534759856169,279.29904604277726,9.299046042777263,189.2990460427773,idx0042_seg2_pt10_h9.jpg,gsv_sidewalk_250m\idx0042_seg2_pt10_h9.jpg,200,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=39.95534759856169,-75.1873801400445&heading=9.299046042777263"
