city,street,segment_id,point_id,distance_m,lon,lat,geometry
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,19,4750.0,-75.20495913251936,39.95596249514858,POINT (-75.20495913251936 39.95596249514858)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,20,5000.0,-75.202742290712,39.95568702249796,POINT (-75.202742290712 39.95568702249796)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,21,5250.0,-75.20052512791155,39.95541308838689,POINT (-75.20052512791155 39.95541308838689)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,22,5500.0,-75.1983089572756,39.95513459921487,POINT (-75.1983089572756 39.95513459921487)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,23,5750.0,-75.19609167907718,39.95486121782087,POINT (-75.19609167907718 39.95486121782087)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,24,6000.0,-75.19387458931791,39.95458690735144,POINT (-75.19387458931791 39.95458690735144)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,25,6250.0,-75.1916555161285,39.954325147318,POINT (-75.1916555161285 39.954325147318)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,26,6500.0,-75.18943867247741,39.95404972200569,POINT (-75.18943867247741 39.95404972200569)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,27,6750.0,-75.18722160368189,39.95377543854893,POINT (-75.18722160368189 39.95377543854893)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,28,7000.0,-75.18500486472597,39.95349949942151,POINT (-75.18500486472597 39.95349949942151)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,29,7250.0,-75.18278944989028,39.95321798123749,POINT (-75.18278944989028 39.95321798123749)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,30,7500.0,-75.18057750117939,39.95292177340684,POINT (-75.18057750117939 39.95292177340684)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,31,7750.0,-75.17836058557316,39.952646650239885,POINT (-75.17836058557316 39.952646650239885)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,32,8000.0,-75.17614132902166,39.952384017454776,POINT (-75.17614132902166 39.952384017454776)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,33,8250.0,-75.17392281526902,39.95211678718703,POINT (-75.17392281526902 39.95211678718703)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,34,8500.0,-75.17170556514358,39.95184386949126,POINT (-75.17170556514358 39.95184386949126)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,35,8750.0,-75.16948884597355,39.951567953312306,POINT (-75.16948884597355 39.951567953312306)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,36,9000.0,-75.16727238158214,39.95129072219458,POINT (-75.16727238158214 39.95129072219458)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,37,9250.0,-75.16505567419307,39.95101480344192,POINT (-75.16505567419307 39.95101480344192)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,38,9500.0,-75.16283906378946,39.95073896418583,POINT (-75.16283906378946 39.95073896418583)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,39,9750.0,-75.16062237492007,39.95046284587659,POINT (-75.16062237492007 39.95046284587659)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,40,10000.0,-75.15840562443081,39.95018690862887,POINT (-75.15840562443081 39.95018690862887)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,41,10250.0,-75.15618952626922,39.949908693325305,POINT (-75.15618952626922 39.949908693325305)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,42,10500.0,-75.15397266865546,39.949633688613126,POINT (-75.15397266865546 39.949633688613126)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,43,10750.0,-75.15175549505106,39.9493604043377,POINT (-75.15175549505106 39.9493604043377)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,44,11000.0,-75.14953818330247,39.9490890037331,POINT (-75.14953818330247 39.9490890037331)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,45,11250.0,-75.14732126970303,39.94881431842466,POINT (-75.14732126970303 39.94881431842466)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,46,11500.0,-75.14510808498606,39.948522944872174,POINT (-75.14510808498606 39.948522944872174)
"Philadelphia, Pennsylvania, USA",Chestnut Street,0,47,11750.0,-75.14289326874427,39.948238162959335,POINT (-75.14289326874427 39.948238162959335)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,0,0.0,-75.18558860065002,39.95201562080295,POINT (-75.18558860065002 39.95201562080295)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,1,250.0,-75.18780500126657,39.95229318184177,POINT (-75.18780500126657 39.95229318184177)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,2,500.0,-75.19002169818916,39.9525692558379,POINT (-75.19002169818916 39.9525692558379)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,3,750.0,-75.19223840103004,39.95284509511758,POINT (-75.19223840103004 39.95284509511758)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,4,1000.0,-75.19445492908635,39.95312207708597,POINT (-75.19445492908635 39.95312207708597)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,5,1250.0,-75.19667217701424,39.95339542417335,POINT (-75.19667217701424 39.95339542417335)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,6,1500.0,-75.1988889866894,39.953670709853114,POINT (-75.1988889866894 39.953670709853114)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,7,1750.0,-75.2011062141276,39.95394424948989,POINT (-75.2011062141276 39.95394424948989)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,8,2000.0,-75.20332293126403,39.954219905342754,POINT (-75.20332293126403 39.954219905342754)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,9,2250.0,-75.20553966562612,39.95449591480395,POINT (-75.20553966562612 39.95449591480395)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,10,2500.0,-75.20775656662293,39.954771120316536,POINT (-75.20775656662293 39.954771120316536)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,11,2750.0,-75.2099749029316,39.95503849899305,POINT (-75.2099749029316 39.95503849899305)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,12,3000.0,-75.21219199573513,39.95531261403011,POINT (-75.21219199573513 39.95531261403011)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,13,3250.0,-75.21440711551513,39.955595649885325,POINT (-75.21440711551513 39.955595649885325)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,14,3500.0,-75.21662418032948,39.95586977759697,POINT (-75.21662418032948 39.95586977759697)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,15,3750.0,-75.21884072677094,39.956146649441195,POINT (-75.21884072677094 39.956146649441195)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,16,4000.0,-75.22105764672378,39.95642178152013,POINT (-75.22105764672378 39.95642178152013)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,17,4250.0,-75.22327457714634,39.95669686279015,POINT (-75.22327457714634 39.95669686279015)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,18,4500.0,-75.22549158161578,39.956971591246486,POINT (-75.22549158161578 39.956971591246486)
"Philadelphia, Pennsylvania, USA",Walnut Street,0,19,4750.0,-75.2277086605571,39.95724596497304,POINT (-75.2277086605571 39.95724596497304)
